"Référence";"Contenu";"Objectif";"Thématique";"Cibles";"Correspondance";"Observations";"Référence Annexe au Règlement d’exécution 2024/2690 (1)";"Contenu Annexe au Règlement d’exécution 2024/2690 (1)";"Référence Annexe au Règlement d’exécution 2024/2690 (2)";"Contenu Annexe au Règlement d’exécution 2024/2690 (2)";"Référence Annexe au Règlement d’exécution 2024/2690 (3)";"Contenu Annexe au Règlement d’exécution 2024/2690 (3)";"Référence Annexe au Règlement d’exécution 2024/2690 (4)";"Contenu Annexe au Règlement d’exécution 2024/2690 (4)";"Référence Annexe au Règlement d’exécution 2024/2690 (5)";"Contenu Annexe au Règlement d’exécution 2024/2690 (5)";"Référence Annexe au Règlement d’exécution 2024/2690 (6)";"Contenu Annexe au Règlement d’exécution 2024/2690 (6)"
"1.1-EI/EE";"L’entité liste l’ensemble de ses activités et services, y compris les activités et services qui ne correspondent pas aux critères pour lesquels l’entité constitue une entité importante ou essentielle (par exemple : une entité essentielle au titre d’une activité exploitation d’un oléoduc doit lister, en plus des activités et services participant à l’exploitation de l’oléoduc, tous les services et les autres activités qu’elle fournit).
Pour chaque entrée de cette liste, l’entité :
•	identifie un responsable de l’activité ou du service (par exemple le chef de service auquel est rattachée l'activité ou le service, un directeur métier, la direction générale) ;
•	liste les systèmes d’information les supportant.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"élevé";"Le règlement d'exécution prévoit la liste des services et des SI associés, mais ne précise pas d'identifier des personnes responsables pour chacun de ces activités et services. ";"12.4.2";"Le niveau de détail de l’inventaire des actifs est adapté aux besoins des entités concernées. L’inventaire comprend les éléments suivants:
a) la liste des opérations et des services et leur description,
b) la liste des réseaux et systèmes d’information et des autres actifs associés soutenant les activités et les services des entités concernées.";;;;;;;;;;
"1.2-EI/EE";"L’entité précise dans la liste prévue au 1.1-EI/EE les systèmes d’information qui ne sont exposés à aucun des risques mentionnés à l’alinéa 2 de l’objectif de sécurité.
L’entité renseigne les justifications de ces choix.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"faible";"Cette mesure est une spécificité de la transposition nationale de la directive NIS 2 pour répondre au principe de proportionnalité inscrit dans la directive.";;;;;;;;;;;;
"1.3-EI/EE";"L’entité valide et réexamine annuellement la liste prévue au 1.1-EI/EE, et en tant que de besoin, notamment en cas d’évolution des activités et services de l’entité ou en cas de mise en service d’un nouveau système d’information.";"Objectif de sécurité 1: Recensement des systèmes d'information";"Recensement des SI";"EntiteImportante, EntiteEssentielle";"faible";"Cette mesure est une spécificité de la transposition nationale de la directive NIS 2 pour répondre au principe de proportionnalité inscrit dans la directive.";;;;;;;;;;;;
"2.A.1-EI/EE";"Le dirigeant exécutif de l’entité est responsable de la sécurité numérique au sein de son entité et en particulier du suivi de la conformité des systèmes d’information aux présentes mesures.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle";"moyen";"Le règlement d'exécution ne fait pas porter explicitement la responsabilité de la sécurité numérique à la direction. Cependant, le règlement d'exécution implique la direction à de nombreuses reprises dans le document (par exemple : approbation de la politique de sécurité des systèmes d'information, compte-rendu des activités d'audit et de contrôle de la conformité ou de la sécurité numérique de l'organisation)";"1.1.2";"La politique relative à la sécurité des réseaux et des systèmes d’information est réexaminée et, s’il est besoin, mise à jour par les organes de direction au moins chaque année, ainsi qu’en cas d’incidents importants ou lorsque des changements majeurs concernant les opérations ou les risques se produisent. Le résultat de ces réexamens est consigné.";"1.2.1";"Dans le cadre de leur politique relative à la sécurité des réseaux et des systèmes d’information visée au point 1.1, les entités concernées définissent les responsabilités et les pouvoirs en matière de sécurité des réseaux et des systèmes d’information; elles les associent à des rôles, les répartissent en fonction de leurs besoins et en informent leurs organes de direction.";"1.2.3";"Au moins une personne fait directement rapport aux organes de direction sur les questions relatives à la sécurité des réseaux et des systèmes d’information.";"2.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, les entités concernées établissent et maintiennent un cadre approprié pour la gestion des risques afin d'identifier les risques pour la sécurité des réseaux et des systèmes d’information et d’y apporter une réponse. Les entités concernées réalisent des évaluations des risques, qu’elles consignent, et, sur la base des résultats obtenus, elles établissent, mettent en œuvre et suivent un plan de traitement des risques. Les résultats de l’évaluation des risques et les risques résiduels sont approuvés par les organes de direction ou, s’il y a lieu, par des personnes qui sont tenues de rendre des comptes et sont habilitées à gérer les risques, à condition que les entités concernées fassent rapport de manière adéquate aux organes de direction.";"2.2.1";"Les entités concernées réexaminent régulièrement la conformité avec leurs politiques en matière de sécurité des réseaux et des systèmes d’information, les politiques concernant des domaines spécifiques, les règles et les normes. Les organes de direction sont informés, au moyen de rapports réguliers établis sur la base des examens de conformité, du stade atteint en matière de sécurité des réseaux et de l’information.";"2.3.3";"Les résultats des réexamens indépendants, y compris les résultats du contrôle de la conformité prévu au point 2.2 ainsi que du suivi et du mesurage prévus au point 7, sont communiqués aux organes de direction. Des mesures correctrices sont prises ou le risque résiduel est accepté conformément aux critères d’acceptation des risques des entités concernées."
"2.A.2-EE";"Il désigne au moins une personne qui le conseille et l’accompagne dans l’exercice de cette responsabilité. Cette personne est le point de contact privilégié de l’Agence nationale de la sécurité des systèmes d’information pour tous les sujets relatifs à la sécurité numérique (notamment incidents de sécurité, communications de l’ANSSI sur les sujets relatifs aux entités essentielles)";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteEssentielle";"élevé";;"1.2.3";"Au moins une personne fait directement rapport aux organes de direction sur les questions relatives à la sécurité des réseaux et des systèmes d’information.";;;;;;;;;;
"2.A.3-EI/EE";"L’entité définit et met en œuvre une organisation adaptée pour assurer sa sécurité numérique (par exemple : la désignation d’un responsable de la sécurité numérique, l’établissement d’un RACI, la mise en place d’une comitologie).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Rôles et responsabilités";"EntiteImportante, EntiteEssentielle";"élevé";;"1.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, la politique relative à la sécurité des réseaux et des systèmes d’information:
a) définit l’approche que les entités concernées suivent pour gérer la sécurité de leurs réseaux et de leurs systèmes d’information;
b) est adaptée et apporte un complément à la stratégie et aux objectifs économiques des entités concernées;
c) fixe des objectifs en matière de sécurité des réseaux et de l’information;
d) comprend un engagement à améliorer de façon continue la sécurité des réseaux et des systèmes d’information;
e) comprend un engagement à fournir les ressources appropriées pour sa mise en œuvre, y compris le personnel, les moyens financiers, les procédures, les outils et les technologies nécessaires;
f) est communiquée aux membres du personnel concernés et aux tiers concernés, qui en prennent acte;
g) définit les rôles et les responsabilités conformément au point 1.2;
h) dresse la liste des documents à conserver en indiquant leur durée de conservation;
i) énumère les politiques concernant des domaines spécifiques;
j) définit des indicateurs et des mesures pour suivre sa mise en œuvre, ainsi que le stade de maturité atteint par les entités concernées en ce qui concerne la sécurité des réseaux et de l’information;
k) indique la date d’approbation formelle par les organes de direction des entités concernées (ci-après les «organes de direction»).";"1.2.1";"Dans le cadre de leur politique relative à la sécurité des réseaux et des systèmes d’information visée au point 1.1, les entités concernées définissent les responsabilités et les pouvoirs en matière de sécurité des réseaux et des systèmes d’information; elles les associent à des rôles, les répartissent en fonction de leurs besoins et en informent leurs organes de direction.";;;;;;;;
"2.B.1-EI/EE";"L’entité définit et met en œuvre une politique de sécurité des systèmes d’information (PSSI).";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"1.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, la politique relative à la sécurité des réseaux et des systèmes d’information:
a) définit l’approche que les entités concernées suivent pour gérer la sécurité de leurs réseaux et de leurs systèmes d’information;
b) est adaptée et apporte un complément à la stratégie et aux objectifs économiques des entités concernées;
c) fixe des objectifs en matière de sécurité des réseaux et de l’information;
d) comprend un engagement à améliorer de façon continue la sécurité des réseaux et des systèmes d’information;
e) comprend un engagement à fournir les ressources appropriées pour sa mise en œuvre, y compris le personnel, les moyens financiers, les procédures, les outils et les technologies nécessaires;
f) est communiquée aux membres du personnel concernés et aux tiers concernés, qui en prennent acte;
g) définit les rôles et les responsabilités conformément au point 1.2;
h) dresse la liste des documents à conserver en indiquant leur durée de conservation;
i) énumère les politiques concernant des domaines spécifiques;
j) définit des indicateurs et des mesures pour suivre sa mise en œuvre, ainsi que le stade de maturité atteint par les entités concernées en ce qui concerne la sécurité des réseaux et de l’information;
k) indique la date d’approbation formelle par les organes de direction des entités concernées (ci-après les «organes de direction»).";;;;;;;;;;
"2.B.2-EI/EE";"Cette PSSI comprend au moins :
•	L’organisation de la gouvernance de la sécurité numérique et notamment les rôles et les responsabilités du personnel interne et externe (par exemple : prestataires, fournisseurs) ;
•	Les orientations et objectifs stratégiques en matière de sécurité numérique déclinés de la stratégie globale de l’entité ;
•	L’engagement du dirigeant exécutif de l’entité à assurer la sécurité numérique des systèmes d’information dont il est responsable ;
•	L’engagement du dirigeant exécutif de l’entité à respecter les exigences légales et réglementaires et en particulier celles définies dans la transposition nationale de la directive NIS 2.
•	La PSSI tient également compte des exigences, procédures et spécificités propres au(x) secteur(s) dans lesquels l’entité exerce ses activités.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"1.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, la politique relative à la sécurité des réseaux et des systèmes d’information:
a) définit l’approche que les entités concernées suivent pour gérer la sécurité de leurs réseaux et de leurs systèmes d’information;
b) est adaptée et apporte un complément à la stratégie et aux objectifs économiques des entités concernées;
c) fixe des objectifs en matière de sécurité des réseaux et de l’information;
d) comprend un engagement à améliorer de façon continue la sécurité des réseaux et des systèmes d’information;
e) comprend un engagement à fournir les ressources appropriées pour sa mise en œuvre, y compris le personnel, les moyens financiers, les procédures, les outils et les technologies nécessaires;
f) est communiquée aux membres du personnel concernés et aux tiers concernés, qui en prennent acte;
g) définit les rôles et les responsabilités conformément au point 1.2;
h) dresse la liste des documents à conserver en indiquant leur durée de conservation;
i) énumère les politiques concernant des domaines spécifiques;
j) définit des indicateurs et des mesures pour suivre sa mise en œuvre, ainsi que le stade de maturité atteint par les entités concernées en ce qui concerne la sécurité des réseaux et de l’information;
k) indique la date d’approbation formelle par les organes de direction des entités concernées (ci-après les «organes de direction»).";;;;;;;;;;
"2.B.3-EI/EE";"Le dirigeant exécutif de l’entité approuve la PSSI.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"1.1.1";"Aux fins de l’article 21, paragraphe 2, point a), de la directive (UE) 2022/2555, la politique relative à la sécurité des réseaux et des systèmes d’information:
a) définit l’approche que les entités concernées suivent pour gérer la sécurité de leurs réseaux et de leurs systèmes d’information;
b) est adaptée et apporte un complément à la stratégie et aux objectifs économiques des entités concernées;
c) fixe des objectifs en matière de sécurité des réseaux et de l’information;
d) comprend un engagement à améliorer de façon continue la sécurité des réseaux et des systèmes d’information;
e) comprend un engagement à fournir les ressources appropriées pour sa mise en œuvre, y compris le personnel, les moyens financiers, les procédures, les outils et les technologies nécessaires;
f) est communiquée aux membres du personnel concernés et aux tiers concernés, qui en prennent acte;
g) définit les rôles et les responsabilités conformément au point 1.2;
h) dresse la liste des documents à conserver en indiquant leur durée de conservation;
i) énumère les politiques concernant des domaines spécifiques;
j) définit des indicateurs et des mesures pour suivre sa mise en œuvre, ainsi que le stade de maturité atteint par les entités concernées en ce qui concerne la sécurité des réseaux et de l’information;
k) indique la date d’approbation formelle par les organes de direction des entités concernées (ci-après les «organes de direction»).";;;;;;;;;;
"2.B.4-EI/EE";"La PSSI est au minimum revue annuellement et mise à jour lorsque nécessaire, notamment en cas d’évolutions majeures de la menace, du contexte métier, technique ou organisationnel intervenues après son approbation.";"Objectif de sécurité 2: Mise en œuvre d'un cadre de gouvernance de la sécurité numérique";"Politique de sécurité des systèmes d'information";"EntiteImportante, EntiteEssentielle";"élevé";;"1.1.2";"La politique relative à la sécurité des réseaux et des systèmes d’information est réexaminée et, s’il est besoin, mise à jour par les organes de direction au moins chaque année, ainsi qu’en cas d’incidents importants ou lorsque des changements majeurs concernant les opérations ou les risques se produisent. Le résultat de ces réexamens est consigné.";;;;;;;;;;
